Family;Name;Title;Priority;Impact;Description;SupplementarGuidance;Related
INCIDENT RESPONSE;IR-4 (1);AUTOMATED INCIDENT HANDLING PROCESSES;P1;MODERATE,HIGH;The organization employs automated mechanisms to support the incident handling process.;NaN;NaN
INCIDENT RESPONSE;IR-4 (2);DYNAMIC RECONFIGURATION;P1;MODERATE,HIGH;The organization includes dynamic reconfiguration of [Assignment: organization-defined information system components] as part of the incident response capability.;Dynamic reconfiguration includes, for example, changes to router rules, access control lists, intrusion detection/prevention system parameters, and filter rules for firewalls and gateways. Organizations perform dynamic reconfiguration of information systems, for example, to stop attacks, to misdirect attackers, and to isolate components of systems, thus limiting the extent of the damage from breaches or compromises. Organizations include time frames for achieving the reconfiguration of information systems in the definition of the reconfiguration capability, considering the potential need for rapid response in order to effectively address sophisticated cyber threats.;AC-2,AC-4,AC-16,CM-2,CM-3,CM-4
INCIDENT RESPONSE;IR-4 (3);CONTINUITY OF OPERATIONS;P1;MODERATE,HIGH;The organization identifies [Assignment: organization-defined classes of incidents] and [Assignment: organization-defined actions to take in response to classes of incidents] to ensure continuation of organizational missions and business functions.;NaN;NaN
INCIDENT RESPONSE;IR-4 (4);INFORMATION CORRELATION;P1;HIGH;The organization correlates incident information and individual incident responses to achieve an organization-wide perspective on incident awareness and response.;NaN;NaN
INCIDENT RESPONSE;IR-4 (5);AUTOMATIC DISABLING OF INFORMATION SYSTEM;P1;HIGH;The organization implements a configurable capability to automatically disable the information system if [Assignment: organization-defined security violations] are detected.;NaN;NaN
INCIDENT RESPONSE;IR-4 (6);INSIDER THREATS - SPECIFIC CAPABILITIES;P1;HIGH;The organization implements incident handling capability for insider threats.;NaN;NaN
INCIDENT RESPONSE;IR-4 (7);INSIDER THREATS - INTRA-ORGANIZATION COORDINATION;P1;HIGH;The organization coordinates incident handling capability for insider threats across [Assignment: organization-defined components or elements of the organization].;NaN;NaN
INCIDENT RESPONSE;IR-4 (8);CORRELATION WITH EXTERNAL ORGANIZATIONS;P1;HIGH;The organization coordinates with [Assignment: organization-defined external organizations] to correlate and share [Assignment: organization-defined incident information] to achieve a cross-organization perspective on incident awareness and more effective incident responses.;NaN;NaN
INCIDENT RESPONSE;IR-4 (9);DYNAMIC RESPONSE CAPABILITY;P1;HIGH;The organization employs [Assignment: organization-defined dynamic response capabilities] to effectively respond to security incidents.;This control enhancement addresses the deployment of replacement or new capabilities in a timely manner in response to security incidents (e.g., adversary actions during hostile cyber attacks). This includes capabilities implemented at the mission/business process level (e.g., activating alternative mission/business processes) and at the information system level.;CP-10
INCIDENT RESPONSE;IR-4 (10);SUPPLY CHAIN COORDINATION;P1;HIGH;The organization coordinates incident handling activities involving supply chain events with other organizations involved in the supply chain.;NaN;NaN
INCIDENT RESPONSE;IR-5;INCIDENT MONITORING;P1;LOW,MODERATE,HIGH;The organization tracks and documents information system security incidents.;Documenting information system security incidents includes, for example, maintaining records about each incident, the status of the incident, and other pertinent information necessary for forensics, evaluating incident details, trends, and handling. Incident information can be obtained from a variety of sources including, for example, incident reports, incident response teams, audit monitoring, network monitoring, physical access monitoring, and user/administrator reports.;AU-6,IR-8,PE-6,SC-5,SC-7,SI-3,SI-4,SI-7
INCIDENT RESPONSE;IR-5 (1);AUTOMATED TRACKING / DATA COLLECTION / ANALYSIS;P1;HIGH;The organization employs automated mechanisms to assist in the tracking of security incidents and in the collection and analysis of incident information.;Automated mechanisms for tracking security incidents and collecting/analyzing incident information include, for example, the Einstein network monitoring device and monitoring online Computer Incident Response Centers (CIRCs) or other electronic databases of incidents.;AU-7,IR-4
INCIDENT RESPONSE;IR-6;INCIDENT REPORTING;P1;LOW,MODERATE,HIGH;The organization: Requires personnel to report suspected security incidents to the organizational incident response capability within [Assignment: organization-defined time period], and Reports security incident information to [Assignment: organization-defined authorities].;The intent of this control is to address both specific incident reporting requirements within an organization and the formal incident reporting requirements for federal agencies and their subordinate organizations. Suspected security incidents include, for example, the receipt of suspicious email communications that can potentially contain malicious code. The types of security incidents reported, the content and timeliness of the reports, and the designated reporting authorities reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Current federal policy requires that all federal agencies (unless specifically exempted from such requirements) report security incidents to the United States Computer Emergency Readiness Team (US-CERT) within specified time frames designated in the US-CERT Concept of Operations for Federal Cyber Security Incident Handling.;IR-4,IR-5,IR-8
INCIDENT RESPONSE;IR-6 (1);AUTOMATED REPORTING;P1;MODERATE,HIGH;The organization employs automated mechanisms to assist in the reporting of security incidents.;NaN;IR-7
INCIDENT RESPONSE;IR-6 (2);VULNERABILITIES RELATED TO INCIDENTS;P1;MODERATE,HIGH;The organization reports information system vulnerabilities associated with reported security incidents to [Assignment: organization-defined personnel or roles].;NaN;NaN
INCIDENT RESPONSE;IR-6 (3);COORDINATION WITH SUPPLY CHAIN;P1;MODERATE,HIGH;The organization provides security incident information to other organizations involved in the supply chain for information systems or information system components related to the incident.;NaN;NaN
INCIDENT RESPONSE;IR-7;INCIDENT RESPONSE ASSISTANCE;P2;LOW,MODERATE,HIGH;The organization provides an incident response support resource, integral to the organizational incident response capability that offers advice and assistance to users of the information system for the handling and reporting of security incidents.;Incident response support resources provided by organizations include, for example, help desks, assistance groups, and access to forensics services, when required.;AT-2,IR-4,IR-6,IR-8,SA-9
INCIDENT RESPONSE;IR-7 (1);AUTOMATION SUPPORT FOR AVAILABILITY OF INFORMATION / SUPPORT;P2;MODERATE,HIGH;The organization employs automated mechanisms to increase the availability of incident response-related information and support.;NaN;NaN
INCIDENT RESPONSE;IR-7 (2);COORDINATION WITH EXTERNAL PROVIDERS;P2;MODERATE,HIGH;The organization: Establishes a direct, cooperative relationship between its incident response capability and external providers of information system protection capability, and Identifies organizational incident response team members to the external providers.;NaN;NaN
INCIDENT RESPONSE;IR-8;INCIDENT RESPONSE PLAN;P1;LOW,MODERATE,HIGH;The organization: Develops an incident response plan that: Provides the organization with a roadmap for implementing its incident response capability, Describes the structure and organization of the incident response capability, Provides a high-level approach for how the incident response capability fits into the overall organization, Meets the unique requirements of the organization, which relate to mission, size, structure, and functions, Defines reportable incidents, Provides metrics for measuring the incident response capability within the organization, Defines the resources and management support needed to effectively maintain and mature an incident response capability, and Is reviewed and approved by [Assignment: organization-defined personnel or roles], Distributes copies of the incident response plan to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements], Reviews the incident response plan [Assignment: organization-defined frequency], Updates the incident response plan to address system/organizational changes or problems encountered during plan implementation, execution, or testing, Communicates incident response plan changes to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements], and Protects the incident response plan from unauthorized disclosure and modification.;It is important that organizations develop and implement a coordinated approach to incident response. Organizational missions, business functions, strategies, goals, and objectives for incident response help to determine the structure of incident response capabilities. As part of a comprehensive incident response capability, organizations consider the coordination and sharing of information with external organizations, including, for example, external service providers and organizations involved in the supply chain for organizational information systems.;MP-2,MP-4,MP-5
INCIDENT RESPONSE;IR-9;INFORMATION SPILLAGE RESPONSE;P0;LOW,MODERATE,HIGH;The organization responds to information spills by: Identifying the specific information involved in the information system contamination, Alerting [Assignment: organization-defined personnel or roles] of the information spill using a method of communication not associated with the spill, Isolating the contaminated information system or system component, Eradicating the information from the contaminated information system or component, Identifying other information systems or system components that may have been subsequently contaminated, and Performing other [Assignment: organization-defined actions].;NaN;NaN
INCIDENT RESPONSE;IR-9 (1);RESPONSIBLE PERSONNEL;P0;LOW,MODERATE,HIGH;The organization assigns [Assignment: organization-defined personnel or roles] with responsibility for responding to information spills.;NaN;NaN
INCIDENT RESPONSE;IR-9 (2);TRAINING;P0;LOW,MODERATE,HIGH;The organization provides information spillage response training [Assignment: organization-defined frequency].;NaN;NaN
INCIDENT RESPONSE;IR-9 (3);POST-SPILL OPERATIONS;P0;LOW,MODERATE,HIGH;The organization implements [Assignment: organization-defined procedures] to ensure that organizational personnel impacted by information spills can continue to carry out assigned tasks while contaminated systems are undergoing corrective actions.;NaN;NaN
INCIDENT RESPONSE;IR-9 (4);EXPOSURE TO UNAUTHORIZED PERSONNEL;P0;LOW,MODERATE,HIGH;The organization employs [Assignment: organization-defined security safeguards] for personnel exposed to information not within assigned access authorizations.;NaN;NaN
INCIDENT RESPONSE;IR-10;INTEGRATED INFORMATION SECURITY ANALYSIS TEAM;P0;LOW,MODERATE,HIGH;The organization establishes an integrated team of forensic/malicious code analysts, tool developers, and real-time operations personnel.;NaN;NaN
MAINTENANCE;MA-1;SYSTEM MAINTENANCE POLICY AND PROCEDURES;P1;LOW,MODERATE,HIGH;The organization: Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]: A system maintenance policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance, and Procedures to facilitate the implementation of the system maintenance policy and associated system maintenance controls, and Reviews and updates the current: System maintenance policy [Assignment: organization-defined frequency], and System maintenance procedures [Assignment: organization-defined frequency].;This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the MA family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.;PM-9
MAINTENANCE;MA-2;CONTROLLED MAINTENANCE;P2;LOW,MODERATE,HIGH;The organization: Schedules, performs, documents, and reviews records of maintenance and repairs on information system components in accordance with manufacturer or vendor specifications and/or organizational requirements, Approves and monitors all maintenance activities, whether performed on site or remotely and whether the equipment is serviced on site or removed to another location, Requires that [Assignment: organization-defined personnel or roles] explicitly approve the removal of the information system or system components from organizational facilities for off-site maintenance or repairs, Sanitizes equipment to remove all information from associated media prior to removal from organizational facilities for off-site maintenance or repairs, Checks all potentially impacted security controls to verify that the controls are still functioning properly following maintenance or repair actions, and Includes [Assignment: organization-defined maintenance-related information] in organizational maintenance records.;This control addresses the information security aspects of the information system maintenance program and applies to all types of maintenance to any system component (including applications) conducted by any local or nonlocal entity (e.g., in-contract, warranty, in-house, software maintenance agreement). System maintenance also includes those components not directly associated with information processing and/or data/information retention such as scanners, copiers, and printers. Information necessary for creating effective maintenance records includes, for example: (i) date and time of maintenance, (ii) name of individuals or group performing the maintenance, (iii) name of escort, if necessary, (iv) a description of the maintenance performed, and (v) information system components/equipment removed or replaced (including identification numbers, if applicable). The level of detail included in maintenance records can be informed by the security categories of organizational information systems. Organizations consider supply chain issues associated with replacement components for information systems.;CM-3,CM-4,MA-4,MP-6,PE-16,SA-12,SI-2
MAINTENANCE;MA-2 (1);RECORD CONTENT;P2;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into MA-2].;NaN;NaN
MAINTENANCE;MA-2 (2);AUTOMATED MAINTENANCE ACTIVITIES;P2;HIGH;The organization: Employs automated mechanisms to schedule, conduct, and document maintenance and repairs, and Produces up-to date, accurate, and complete records of all maintenance and repair actions requested, scheduled, in process, and completed.;NaN;CA-7,MA-3
MAINTENANCE;MA-3;MAINTENANCE TOOLS;P3;MODERATE,HIGH;The organization approves, controls, and monitors information system maintenance tools.;This control addresses security-related issues associated with maintenance tools used specifically for diagnostic and repair actions on organizational information systems. Maintenance tools can include hardware, software, and firmware items. Maintenance tools are potential vehicles for transporting malicious code, either intentionally or unintentionally, into a facility and subsequently into organizational information systems. Maintenance tools can include, for example, hardware/software diagnostic test equipment and hardware/software packet sniffers. This control does not cover hardware/software components that may support information system maintenance, yet are a part of the system, for example, the software implementing ï¿½ping,ï¿½ ï¿½ls,ï¿½ ï¿½ipconfig,ï¿½ or the hardware and software implementing the monitoring port of an Ethernet switch.;MA-2,MA-5,MP-6
MAINTENANCE;MA-3 (1);INSPECT TOOLS;P3;MODERATE,HIGH;The organization inspects the maintenance tools carried into a facility by maintenance personnel for improper or unauthorized modifications.;If, upon inspection of maintenance tools, organizations determine that the tools have been modified in an improper/unauthorized manner or contain malicious code, the incident is handled consistent with organizational policies and procedures for incident handling.;SI-7
MAINTENANCE;MA-3 (2);INSPECT MEDIA;P3;MODERATE,HIGH;The organization checks media containing diagnostic and test programs for malicious code before the media are used in the information system.;If, upon inspection of media containing maintenance diagnostic and test programs, organizations determine that the media contain malicious code, the incident is handled consistent with organizational incident handling policies and procedures.;SI-3
MAINTENANCE;MA-3 (3);PREVENT UNAUTHORIZED REMOVAL;P3;HIGH;The organization prevents the unauthorized removal of maintenance equipment containing organizational information by: Verifying that there is no organizational information contained on the equipment, Sanitizing or destroying the equipment, Retaining the equipment within the facility, or Obtaining an exemption from [Assignment: organization-defined personnel or roles] explicitly authorizing removal of the equipment from the facility.;NaN;NaN
MAINTENANCE;MA-3 (4);RESTRICTED TOOL USE;P3;HIGH;The information system restricts the use of maintenance tools to authorized personnel only.;This control enhancement applies to information systems that are used to carry out maintenance functions.;AC-2,AC-3,AC-5,AC-6
MAINTENANCE;MA-4;NONLOCAL MAINTENANCE;P2;LOW,MODERATE,HIGH;The organization: Approves and monitors nonlocal maintenance and diagnostic activities, Allows the use of nonlocal maintenance and diagnostic tools only as consistent with organizational policy and documented in the security plan for the information system, Employs strong authenticators in the establishment of nonlocal maintenance and diagnostic sessions, Maintains records for nonlocal maintenance and diagnostic activities, and Terminates session and network connections when nonlocal maintenance is completed.;Nonlocal maintenance and diagnostic activities are those activities conducted by individuals communicating through a network, either an external network (e.g., the Internet) or an internal network. Local maintenance and diagnostic activities are those activities carried out by individuals physically present at the information system or information system component and not communicating across a network connection. Authentication techniques used in the establishment of nonlocal maintenance and diagnostic sessions reflect the network access requirements in IA-2. Typically, strong authentication requires authenticators that are resistant to replay attacks and employ multifactor authentication. Strong authenticators include, for example, PKI where certificates are stored on a token protected by a password, passphrase, or biometric. Enforcing requirements in MA-4 is accomplished in part by other controls.;AC-2,AC-3,AC-6,AC-17,AU-2,AU-3,IA-2,IA-4,IA-5,IA-8,MA-2,MA-5,MP-6,PL-2,SC-7,SC-10,SC-17
MAINTENANCE;MA-4 (1);AUDITING AND REVIEW;P2;LOW,MODERATE,HIGH;The organization: Audits nonlocal maintenance and diagnostic sessions [Assignment: organization-defined audit events], and Reviews the records of the maintenance and diagnostic sessions.;NaN;AU-2,AU-6,AU-12
MAINTENANCE;MA-4 (2);DOCUMENT NONLOCAL MAINTENANCE;P2;MODERATE,HIGH;The organization documents in the security plan for the information system, the policies and procedures for the establishment and use of nonlocal maintenance and diagnostic connections.;NaN;NaN
MAINTENANCE;MA-4 (3);COMPARABLE SECURITY / SANITIZATION;P2;HIGH;The organization: Requires that nonlocal maintenance and diagnostic services be performed from an information system that implements a security capability comparable to the capability implemented on the system being serviced, or Removes the component to be serviced from the information system prior to nonlocal maintenance or diagnostic services, sanitizes the component (with regard to organizational information) before removal from organizational facilities, and after the service is performed, inspects and sanitizes the component (with regard to potentially malicious software) before reconnecting the component to the information system.;Comparable security capability on information systems, diagnostic tools, and equipment providing maintenance services implies that the implemented security controls on those systems, tools, and equipment are at least as comprehensive as the controls on the information system being serviced.;MA-3,SA-12,SI-3,SI-7
MAINTENANCE;MA-4 (4);AUTHENTICATION / SEPARATION OF MAINTENANCE SESSIONS;P2;HIGH;The organization protects nonlocal maintenance sessions by: Employing [Assignment: organization-defined authenticators that are replay resistant], and Separating the maintenance sessions from other network sessions with the information system by either: Physically separated communications paths, or Logically separated communications paths based upon encryption.;NaN;SC-13
MAINTENANCE;MA-4 (5);APPROVALS AND NOTIFICATIONS;P2;HIGH;The organization: Requires the approval of each nonlocal maintenance session by [Assignment: organization-defined personnel or roles], and Notifies [Assignment: organization-defined personnel or roles] of the date and time of planned nonlocal maintenance.;NaN;NaN
MAINTENANCE;MA-4 (6);CRYPTOGRAPHIC PROTECTION;P2;HIGH;The information system implements cryptographic mechanisms to protect the integrity and confidentiality of nonlocal maintenance and diagnostic communications.;NaN;SC-8,SC-13
MAINTENANCE;MA-4 (7);REMOTE DISCONNECT VERIFICATION;P2;HIGH;The information system implements remote disconnect verification at the termination of nonlocal maintenance and diagnostic sessions.;Remote disconnect verification ensures that remote connections from nonlocal maintenance sessions have been terminated and are no longer available for use.;SC-13
MAINTENANCE;MA-5;MAINTENANCE PERSONNEL;P2;LOW,MODERATE,HIGH;The organization: Establishes a process for maintenance personnel authorization and maintains a list of authorized maintenance organizations or personnel, Ensures that non-escorted personnel performing maintenance on the information system have required access authorizations, and Designates organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.;This control applies to individuals performing hardware or software maintenance on organizational information systems, while PE-2 addresses physical access for individuals whose maintenance duties place them within the physical protection perimeter of the systems (e.g., custodial staff, physical plant maintenance personnel). Technical competence of supervising individuals relates to the maintenance performed on the information systems while having required access authorizations refers to maintenance on and near the systems. Individuals not previously identified as authorized maintenance personnel, such as information technology manufacturers, vendors, systems integrators, and consultants, may require privileged access to organizational information systems, for example, when required to conduct maintenance activities with little or no notice. Based on organizational assessments of risk, organizations may issue temporary credentials to these individuals. Temporary credentials may be for one-time use or for very limited time periods.;AC-2,IA-8,MP-2,PE-2,PE-3,PE-4,RA-3
MAINTENANCE;MA-5 (1);INDIVIDUALS WITHOUT APPROPRIATE ACCESS;P2;HIGH;The organization: Implements procedures for the use of maintenance personnel that lack appropriate security clearances or are not U.S. citizens, that include the following requirements: Maintenance personnel who do not have needed access authorizations, clearances, or formal access approvals are escorted and supervised during the performance of maintenance and diagnostic activities on the information system by approved organizational personnel who are fully cleared, have appropriate access authorizations, and are technically qualified, Prior to initiating maintenance or diagnostic activities by personnel who do not have needed access authorizations, clearances or formal access approvals, all volatile information storage components within the information system are sanitized and all nonvolatile storage media are removed or physically disconnected from the system and secured, and Develops and implements alternate security safeguards in the event an information system component cannot be sanitized, removed, or disconnected from the system.;This control enhancement denies individuals who lack appropriate security clearances (i.e., individuals who do not possess security clearances or possess security clearances at a lower level than required) or who are not U.S. citizens, visual and electronic access to any classified information, Controlled Unclassified Information (CUI), or any other sensitive information contained on organizational information systems. Procedures for the use of maintenance personnel can be documented in security plans for the information systems.;MP-6,PL-2
MAINTENANCE;MA-5 (2);SECURITY CLEARANCES FOR CLASSIFIED SYSTEMS;P2;HIGH;The organization ensures that personnel performing maintenance and diagnostic activities on an information system processing, storing, or transmitting classified information possess security clearances and formal access approvals for at least the highest classification level and for all compartments of information on the system.;NaN;PS-3
MAINTENANCE;MA-5 (3);CITIZENSHIP REQUIREMENTS FOR CLASSIFIED SYSTEMS;P2;HIGH;The organization ensures that personnel performing maintenance and diagnostic activities on an information system processing, storing, or transmitting classified information are U.S. citizens.;NaN;PS-3
MAINTENANCE;MA-5 (4);FOREIGN NATIONALS;P2;HIGH;The organization ensures that: Cleared foreign nationals (i.e., foreign nationals with appropriate security clearances), are used to conduct maintenance and diagnostic activities on classified information systems only when the systems are jointly owned and operated by the United States and foreign allied governments, or owned and operated solely by foreign allied governments, and Approvals, consents, and detailed operational conditions regarding the use of foreign nationals to conduct maintenance and diagnostic activities on classified information systems are fully documented within Memoranda of Agreements.;NaN;PS-3
MAINTENANCE;MA-5 (5);NONSYSTEM-RELATED MAINTENANCE;P2;HIGH;The organization ensures that non-escorted personnel performing maintenance activities not directly associated with the information system but in the physical proximity of the system, have required access authorizations.;NaN;NaN
MAINTENANCE;MA-6;TIMELY MAINTENANCE;P2;MODERATE,HIGH;The organization obtains maintenance support and/or spare parts for [Assignment: organization-defined information system components] within [Assignment: organization-defined time period] of failure.;Organizations specify the information system components that result in increased risk to organizational operations and assets, individuals, other organizations, or the Nation when the functionality provided by those components is not operational. Organizational actions to obtain maintenance support typically include having appropriate contracts in place.;CM-8,CP-2,CP-7,SA-14,SA-15
MAINTENANCE;MA-6 (1);PREVENTIVE MAINTENANCE;P2;MODERATE,HIGH;The organization performs preventive maintenance on [Assignment: organization-defined information system components] at [Assignment: organization-defined time intervals].;NaN;NaN
MAINTENANCE;MA-6 (2);PREDICTIVE MAINTENANCE;P2;MODERATE,HIGH;The organization performs predictive maintenance on [Assignment: organization-defined information system components] at [Assignment: organization-defined time intervals].;NaN;NaN
MAINTENANCE;MA-6 (3);AUTOMATED SUPPORT FOR PREDICTIVE MAINTENANCE;P2;MODERATE,HIGH;The organization employs automated mechanisms to transfer predictive maintenance data to a computerized maintenance management system.;NaN;NaN
MEDIA PROTECTION;MP-1;MEDIA PROTECTION POLICY AND PROCEDURES;P1;LOW,MODERATE,HIGH;The organization: Develops, documents, and disseminates to [Assignment: organization-defined personnel or roles]: A media protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance, and;This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the MP family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.;PM-9
MEDIA PROTECTION;MP-1a.2.;MEDIA PROTECTION POLICY AND PROCEDURES;P1;LOW,MODERATE,HIGH;Procedures to facilitate the implementation of the media protection policy and associated media protection controls, and Reviews and updates the current: Media protection policy [Assignment: organization-defined frequency], and Media protection procedures [Assignment: organization-defined frequency].;NaN;NaN
MEDIA PROTECTION;MP-2;MEDIA ACCESS;P1;LOW,MODERATE,HIGH;The organization restricts access to [Assignment: organization-defined types of digital and/or non-digital media] to [Assignment: organization-defined personnel or roles].;Information system media includes both digital and non-digital media. Digital media includes, for example, diskettes, magnetic tapes, external/removable hard disk drives, flash drives, compact disks, and digital video disks. Non-digital media includes, for example, paper and microfilm. Restricting non-digital media access includes, for example, denying access to patient medical records in a community hospital unless the individuals seeking access to such records are authorized healthcare providers. Restricting access to digital media includes, for example, limiting access to design specifications stored on compact disks in the media library to the project leader and the individuals on the development team.;AC-3,IA-2,MP-4,PE-2,PE-3,PL-2
MEDIA PROTECTION;MP-2 (1);AUTOMATED RESTRICTED ACCESS;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into MP-4 (2)].;NaN;NaN
MEDIA PROTECTION;MP-2 (2);CRYPTOGRAPHIC PROTECTION;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into SC-28 (1)].;NaN;NaN
MEDIA PROTECTION;MP-3;MEDIA MARKING;P2;MODERATE,HIGH;The organization: Marks information system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information, and Exempts [Assignment: organization-defined types of information system media] from marking as long as the media remain within [Assignment: organization-defined controlled areas].;The term security marking refers to the application/use of human-readable security attributes. The term security labeling refers to the application/use of security attributes with regard to internal data structures within information systems (see AC-16). Information system media includes both digital and non-digital media. Digital media includes, for example, diskettes, magnetic tapes, external/removable hard disk drives, flash drives, compact disks, and digital video disks. Non-digital media includes, for example, paper and microfilm. Security marking is generally not required for media containing information determined by organizations to be in the public domain or to be publicly releasable. However, some organizations may require markings for public information indicating that the information is publicly releasable. Marking of information system media reflects applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.;AC-16,PL-2,RA-3
MEDIA PROTECTION;MP-4;MEDIA STORAGE;P1;MODERATE,HIGH;The organization: Physically controls and securely stores [Assignment: organization-defined types of digital and/or non-digital media] within [Assignment: organization-defined controlled areas], and Protects information system media until the media are destroyed or sanitized using approved equipment, techniques, and procedures.;Information system media includes both digital and non-digital media. Digital media includes, for example, diskettes, magnetic tapes, external/removable hard disk drives, flash drives, compact disks, and digital video disks. Non-digital media includes, for example, paper and microfilm. Physically controlling information system media includes, for example, conducting inventories, ensuring procedures are in place to allow individuals to check out and return media to the media library, and maintaining accountability for all stored media. Secure storage includes, for example, a locked drawer, desk, or cabinet, or a controlled media library. The type of media storage is commensurate with the security category and/or classification of the information residing on the media. Controlled areas are areas for which organizations provide sufficient physical and procedural safeguards to meet the requirements established for protecting information and/or information systems. For media containing information determined by organizations to be in the public domain, to be publicly releasable, or to have limited or no adverse impact on organizations or individuals if accessed by other than authorized personnel, fewer safeguards may be needed. In these situations, physical access controls provide adequate protection.;CP-6,CP-9,MP-2,MP-7,PE-3
MEDIA PROTECTION;MP-4 (1);CRYPTOGRAPHIC PROTECTION;P1;MODERATE,HIGH;[Withdrawn: Incorporated into SC-28 (1)].;NaN;NaN
MEDIA PROTECTION;MP-4 (2);AUTOMATED RESTRICTED ACCESS;P1;MODERATE,HIGH;The organization employs automated mechanisms to restrict access to media storage areas and to audit access attempts and access granted.;Automated mechanisms can include, for example, keypads on the external entries to media storage areas.;AU-2,AU-9,AU-6,AU-12
MEDIA PROTECTION;MP-5;MEDIA TRANSPORT;P1;MODERATE,HIGH;The organization: Protects and controls [Assignment: organization-defined types of information system media] during transport outside of controlled areas using [Assignment: organization-defined security safeguards], Maintains accountability for information system media during transport outside of controlled areas, Documents activities associated with the transport of information system media, and Restricts the activities associated with the transport of information system media to authorized personnel.;Information system media includes both digital and non-digital media. Digital media includes, for example, diskettes, magnetic tapes, external/removable hard disk drives, flash drives, compact disks, and digital video disks. Non-digital media includes, for example, paper and microfilm. This control also applies to mobile devices with information storage capability (e.g., smart phones, tablets, E-readers), that are transported outside of controlled areas. Controlled areas are areas or spaces for which organizations provide sufficient physical and/or procedural safeguards to meet the requirements established for protecting information and/or information systems. Physical and technical safeguards for media are commensurate with the security category or classification of the information residing on the media. Safeguards to protect media during transport include, for example, locked containers and cryptography. Cryptographic mechanisms can provide confidentiality and integrity protections depending upon the mechanisms used. Activities associated with transport include the actual transport as well as those activities such as releasing media for transport and ensuring that media enters the appropriate transport processes. For the actual transport, authorized transport and courier personnel may include individuals from outside the organization (e.g., U.S. Postal Service or a commercial transport or delivery service). Maintaining accountability of media during transport includes, for example, restricting transport activities to authorized personnel, and tracking and/or obtaining explicit records of transport activities as the media moves through the transportation system to prevent and detect loss, destruction, or tampering. Organizations establish documentation requirements for activities associated with the transport of information system media in accordance with organizational assessments of risk to include the flexibility to define different record-keeping methods for the different types of media transport as part of an overall system of transport-related records.;AC-19,CP-9,MP-3,MP-4,RA-3,SC-8,SC-13,SC-28
MEDIA PROTECTION;MP-5 (1);PROTECTION OUTSIDE OF CONTROLLED AREAS;P1;MODERATE,HIGH;[Withdrawn: Incorporated into MP-5].;NaN;NaN
MEDIA PROTECTION;MP-5 (2);DOCUMENTATION OF ACTIVITIES;P1;MODERATE,HIGH;[Withdrawn: Incorporated into MP-5].;NaN;NaN
MEDIA PROTECTION;MP-5 (3);CUSTODIANS;P1;MODERATE,HIGH;The organization employs an identified custodian during transport of information system media outside of controlled areas.;NaN;NaN
MEDIA PROTECTION;MP-5 (4);CRYPTOGRAPHIC PROTECTION;P1;MODERATE,HIGH;The information system implements cryptographic mechanisms to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas.;This control enhancement applies to both portable storage devices (e.g., USB memory sticks, compact disks, digital video disks, external/removable hard disk drives) and mobile devices with storage capability (e.g., smart phones, tablets, E-readers).;MP-2
